Name,homepage,repourl,label,enabled,logo,background,css,js,txt,shib_entityid,favicon
Uni Münster,https://www.uni-muenster.de/,,uni-muenster,1,,,,,,https://zividptest.uni-muenster.de/idp/shibboleth,
Uni Wuppertal,https://www.uni-wuppertal.de/,,uni-wuppertal,1,/at/uni-wuppertal/img/BUW_Logo-weiss-auf-gruen-rgb.png,/at/uni-wuppertal/img/wuppertal-bg.jpg,/at/uni-wuppertal/css/main.css,,/at/uni-wuppertal/txt/main.txt,https://idp-test.uni-wuppertal.de/idp/shibboleth,
FH Münster,https://www.fh-muenster.de/,,fh-muenster,1,/at/fh-muenster/img/logo.png,/at/fh-muenster/img/fhm-bg.svg,/at/fh-muenster/css/main.css,/at/fh-muenster/js/main.js,,https://idp-test.fh-muenster.de/idp/shibboleth,/at/fh-muenster/img/favicon_fhms.ico
Uni Bielefeld,https://www.uni-bielefeld.de/,,uni-bielefeld,1,,,,,,https://shibboleth-test.uni-bielefeld.de/idp/shibboleth,
Hochschule Bielefeld,https://www.hsbi.de/,,hsbi,1,/at/hsbi/img/logo.svg,/at/hsbi/img/hsbi-bg.svg,/at/hsbi/css/main.css,/at/hsbi/js/main.js,,,/at/hsbi/img/favicon-64.png
Hochschule Rhein-Waal,https://www.hochschule-rhein-waal.de/,,hochschule-rhein-waal,1,/at/hochschule-rhein-waal/img/logo.svg,/at/hochschule-rhein-waal/img/background.svg,/at/hochschule-rhein-waal/css/main.css,/at/hochschule-rhein-waal/js/main.js,,,/at/hochschule-rhein-waal/img/favicon-64.png
Hochschule Bochum,https://www.hochschule-bochum.de/,,hs-bochum,1,,,,,,https://idp0.hs-bochum.de/idp/shibboleth,
Fachhochschule Südwestfalen,https://www.fh-swf.de/,,fh-swf,1,,,,,,https://idp-devel02.fh-swf.de/idp/shibboleth,
FernUniversität in Hagen,https://www.fernuni-hagen.de/,,fernuni-hagen,1,/at/fernuni-hagen/img/logo.svg,/at/fernuni-hagen/img/background.svg,/at/fernuni-hagen/css/main.css,/at/fernuni-hagen/js/main.js,,https://login-test.fernuni-hagen.de/idp/shibboleth,/at/fernuni-hagen/img/favicon-64.png
TH Köln,https://www.th-koeln.de/,,th-koeln,1,/at/th-koeln/img/logo.png,/at/th-koeln/img/background.svg,/at/th-koeln/css/main.css,/at/th-koeln/js/main.js,,https://qa-login.th-koeln.de/nidp/saml2/metadata,/at/th-koeln/img/favicon-64.png
Universität zu Köln,https://www.uni-koeln.de/,,uni-koeln,1,/at/uni-koeln/img/logo.svg,/at/uni-koeln/img/koeln-sphaeren-bg.svg,/at/uni-koeln/css/main.css,/at/uni-koeln/js/main.js,,https://idptest.rrz.uni-koeln.de/idp/shibboleth,/at/uni-koeln/img/favicon-64.png
Universität Siegen,https://www.uni-siegen.de/,,uni-siegen,1,,,,,,https://login.zimt-test.uni-siegen.de/idp/shibboleth,
Hochschule Bonn-Rhein-Sieg,https://www.h-brs.de/,,h-brs,1,/at/h-brs/img/logo-700w.png,/at/h-brs/img/hero-circles.svg,/at/h-brs/css/main.css,/at/h-brs/js/main.js,,,/at/h-brs/img/favicon-32.png
RWTH Aachen,https://www.rwth-aachen.de/,https://publications.rwth-aachen.de/collection/Dataset?ln=de,rwth-aachen,1,,,,,,https://login-test.rz.rwth-aachen.de/shibboleth,
Universität Bonn,https://www.uni-bonn.de/,https://bonndata.uni-bonn.de/,uni-bonn,1,,,,,,https://shibboleth-test.rhrz.uni-bonn.de/idp/shibboleth,
Test Layout Standard,https://www.uni-bonn.de/,,layout-standard,1,,,,,,,
Test Layout Adapted,https://www.uni-bonn.de/,,layout-adapted,1,https://upload.wikimedia.org/wikipedia/commons/a/a5/Universit%C3%A4t_Bielefeld_Logo.svg,/at/layout-adapted/img/bielefeld-bg.jpg,/at/layout-adapted/css/main.css,/at/layout-adapted/js/main.js,,,
Test Layout Custom,https://www.uni-bonn.de/,,layout-custom,1,https://upload.wikimedia.org/wikipedia/commons/6/6b/Logo_Uni_Siegen.svg,,,,,,
Musteruniversität Beispielstadt,https://www.example.org/,,mock-uni,1,/at/mock-uni/img/logo.svg,/at/mock-uni/img/bielefeld-bg.jpg,/at/mock-uni/css/main.css,/at/mock-uni/js/main.js,,,
